Test_ID,Data_Point,Test_Time,Step_Time,DateTime,Step_Index,Cycle_Index,Is_FC_Data,Current,Voltage,Charge_Capacity,Discharge_Capacity,Charge_Energy,Discharge_Energy,dV/dt,Internal_Resistance,AC_Impedance,ACI_Phase_Angle
1,1,300.00858651027863,300.00858704159697,44068.84675925926,1,1,0,0.0,2.685154438018799,0.0,0.0,0.0,0.0,0.0008099555852822959,0.0,0.0,0.0
1,2,600.0179149614983,600.0179155128664,44068.85023148148,1,1,0,0.0,2.7104265689849854,0.0,0.0,0.0,0.0,0.0006155967712402344,0.0,0.0,0.0
1,3,900.0271009442179,900.0271016660088,44068.8537037037,1,1,0,0.0,2.7311625480651855,0.0,0.0,0.0,0.0,-0.0004211902560200542,0.0,0.0,0.0
1,4,1200.036128443701,1200.0361289549696,44068.85717592593,1,1,0,0.0,2.7530324459075928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,1500.0452740061276,1500.045274617645,44068.860659722224,1,1,0,0.0,2.7648582458496094,0.0,0.0,0.0,0.0,3.237724376958795e-05,0.0,0.0,0.0
1,6,1800.054338271837,1800.0543388031554,44068.86413194444,1,1,0,0.0,2.775712251663208,0.0,0.0,0.0,0.0,6.480216688942164e-05,0.0,0.0,0.0
1,7,2100.0634319856144,2100.06343251192,44068.86760416667,1,1,0,0.0,2.7839744091033936,0.0,0.0,0.0,0.0,6.480216688942164e-05,0.0,0.0,0.0
1,8,2400.07251870203,2400.072519233348,44068.87107638889,1,1,0,0.0,2.791264295578003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9,2700.0815488631165,2700.0815493944347,44068.874548611115,1,1,0,0.0,2.7977442741394043,0.0,0.0,0.0,0.0,3.237724376958795e-05,0.0,0.0,0.0
1,10,3000.0906958991995,3000.0906964104684,44068.878020833334,1,1,0,0.0,2.805844306945801,0.0,0.0,0.0,0.0,-6.480216688942164e-05,0.0,0.0,0.0
1,11,3300.09978242013,3300.0997829313987,44068.88149305555,1,1,0,0.0,2.809408187866211,0.0,0.0,0.0,0.0,-9.722709364723414e-05,0.0,0.0,0.0
1,12,3600.108881442078,3600.108881998459,44068.88496527778,1,1,0,0.0,2.8144302368164062,0.0,0.0,0.0,0.0,3.237724376958795e-05,0.0,0.0,0.0
1,13,3900.1177722874886,3900.1177728488815,44068.8884375,1,1,0,0.0,2.8189661502838135,0.0,0.0,0.0,0.0,-3.24249267578125e-05,0.0,0.0,0.0
1,14,4200.127113380075,4200.1271139865785,44068.891909722224,1,1,0,0.0,2.8218822479248047,0.0,0.0,0.0,0.0,3.24249267578125e-05,0.0,0.0,0.0
1,15,4500.136080790461,4500.13608130173,44068.89538194444,1,1,0,0.0,2.825284242630005,0.0,0.0,0.0,0.0,-3.237724376958795e-05,0.0,0.0,0.0
1,16,4800.145311078112,4800.145311804916,44068.89885416667,1,1,0,0.0,2.827390193939209,0.0,0.0,0.0,0.0,6.480216688942164e-05,0.0,0.0,0.0
1,17,5100.154417513455,5100.154418039761,44068.90232638889,1,1,0,0.0,2.828524112701416,0.0,0.0,0.0,0.0,-3.24249267578125e-05,0.0,0.0,0.0
1,18,5400.16364768582,5400.163648332425,44068.905798611115,1,1,0,0.0,2.830144166946411,0.0,0.0,0.0,0.0,-3.24249267578125e-05,0.0,0.0,0.0
1,19,5700.172699069566,5700.172699580835,44068.909270833334,1,1,0,0.0,2.831116199493408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20,6000.181823820354,6000.181824331623,44068.91274305555,1,1,0,0.0,2.8324122428894043,0.0,0.0,0.0,0.0,3.24249267578125e-05,0.0,0.0,0.0
1,21,6300.190898622206,6300.190899133475,44068.91621527778,1,1,0,0.0,2.8332221508026123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,22,6600.199998771953,6600.199999313296,44068.9196875,1,1,0,0.0,2.8335461616516113,0.0,0.0,0.0,0.0,-3.24249267578125e-05,0.0,0.0,0.0
1,23,6900.209614831801,6900.209615343069,44068.923159722224,1,1,0,0.0,2.8343560695648193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,24,7200.217987762135,7200.217988293453,44068.92663194444,1,1,0,0.0,2.8343560695648193,0.0,0.0,0.0,0.0,-0.00012960433377884328,0.0,0.0,0.0
1,25,7500.227298780099,7500.227299316429,44068.93010416667,1,1,0,0.0,2.8348422050476074,0.0,0.0,0.0,0.0,-3.237724376958795e-05,0.0,0.0,0.0
1,26,7800.2364004736755,7800.236400999981,44068.93357638889,1,1,0,0.0,2.8351662158966064,0.0,0.0,0.0,0.0,3.24249267578125e-05,0.0,0.0,0.0
1,27,8100.245442930271,8100.2454434415395,44068.937048611115,1,1,0,0.0,2.8350040912628174,0.0,0.0,0.0,0.0,-3.24249267578125e-05,0.0,0.0,0.0
1,28,8400.254640802492,8400.254641313759,44068.940520833334,1,1,0,0.0,2.8348422050476074,0.0,0.0,0.0,0.0,3.24249267578125e-05,0.0,0.0,0.0
1,29,8700.263767292594,8700.263767803863,44068.94399305555,1,1,0,0.0,2.8348422050476074,0.0,0.0,0.0,0.0,3.24249267578125e-05,0.0,0.0,0.0
1,30,9000.272871557552,9000.272872259293,44068.94746527778,1,1,0,0.0,2.8343560695648193,0.0,0.0,0.0,0.0,-3.24249267578125e-05,0.0,0.0,0.0
1,31,9300.282096176135,9300.282096968102,44068.9509375,1,1,0,0.0,2.8338701725006104,0.0,0.0,0.0,0.0,-3.24249267578125e-05,0.0,0.0,0.0
1,32,9600.291226771427,9600.291227282696,44068.954421296294,1,1,0,0.0,2.8332221508026123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,33,9900.300314610628,9900.300315307357,44068.95789351852,1,1,0,0.0,2.8327362537384033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,34,10200.309521019028,10200.309521620522,44068.96136574074,1,1,0,0.0,2.831926107406616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,35,10500.31885868812,10500.318859239487,44068.964837962965,1,1,0,0.0,2.831602096557617,0.0,0.0,0.0,0.0,-3.24249267578125e-05,0.0,0.0,0.0
1,36,10800.327861656737,10800.327862188054,44068.968310185184,1,1,0,0.0,2.831602096557617,0.0,0.0,0.0,0.0,3.237724376958795e-05,0.0,0.0,0.0
1,37,11100.337144013583,11100.337144650162,44068.97178240741,1,1,0,0.0,2.83046817779541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,38,11400.346169392806,11400.346170004324,44068.97525462963,1,1,0,0.0,2.8303062915802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,39,11700.355332037618,11700.355332644123,44068.97872685185,1,1,0,0.0,2.824150323867798,0.0,0.0,0.0,0.0,-3.237724376958795e-05,0.0,0.0,0.0
1,40,12000.364583658202,12000.364584224608,44068.982199074075,1,1,0,0.0,2.8226921558380127,0.0,0.0,0.0,0.0,-6.480216688942164e-05,0.0,0.0,0.0
1,41,12300.373685061058,12300.373685592376,44068.985671296294,1,1,0,0.0,2.8220441341400146,0.0,0.0,0.0,0.0,6.480216688942164e-05,0.0,0.0,0.0
1,42,12600.383062147954,12600.383062869749,44068.98914351852,1,1,0,0.0,2.8213961124420166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,43,12900.39230910196,12900.392309723502,44068.99261574074,1,1,0,0.0,2.8202621936798096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,44,13200.401520232075,13200.401520848603,44068.996087962965,1,1,0,0.0,2.8196141719818115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,45,13500.410757938134,13500.410758459428,44068.999560185184,1,1,0,0.0,2.8184802532196045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,46,13800.420012531093,13800.4200130574,44069.00303240741,1,1,0,0.0,2.8170223236083984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,47,14100.429215531036,14100.429216042305,44069.00650462963,1,1,0,0.0,2.8162121772766113,0.0,0.0,0.0,0.0,3.237724376958795e-05,0.0,0.0,0.0
1,48,14400.438416681392,14400.438417192658,44069.00997685185,1,1,0,0.0,2.8154022693634033,0.0,0.0,0.0,0.0,-3.237724376958795e-05,0.0,0.0,0.0
